City,CityASCII,Latitude,Longitude,Country,ISO2,ISO3,AdminName,Capital,Population
Korçë,Korce,40.6167,20.7667,Albania,AL,ALB,Korçë,admin,51152
Krujë,Kruje,41.5178,19.7978,Albania,AL,ALB,Durrës,,11721
Krumë,Krume,42.1961,20.4146,Albania,AL,ALB,Kukës,,6006
Kuçovë,Kucove,40.8039,19.9144,Albania,AL,ALB,Berat,,12654
Kukës,Kukes,42.0758,20.4231,Albania,AL,ALB,Kukës,admin,16719
Laç,Lac,41.6353,19.7131,Albania,AL,ALB,Lezhë,,17086
Lezhë,Lezhe,41.7805,19.6434,Albania,AL,ALB,Lezhë,admin,15510
Libonik,Libonik,40.75,20.7167,Albania,AL,ALB,Korçë,,8922
Librazhd,Librazhd,41.1833,20.3167,Albania,AL,ALB,Elbasan,,6937
Librazhd-Qendër,Librazhd-Qender,41.1969,20.3356,Albania,AL,ALB,Elbasan,,12691
Lushnjë,Lushnje,40.9333,19.7,Albania,AL,ALB,Fier,,31105
Mamurras,Mamurras,41.5775,19.6922,Albania,AL,ALB,Lezhë,,8282
Patos,Patos,40.6841,19.6194,Albania,AL,ALB,Fier,,15397
Peqin,Peqin,41.05,19.75,Albania,AL,ALB,Elbasan,,6353
Përmet,Permet,40.2333,20.35,Albania,AL,ALB,Gjirokastër,,5945
Peshkopi,Peshkopi,41.6831,20.4289,Albania,AL,ALB,Dibër,admin,13251
Pogradec,Pogradec,40.9,20.65,Albania,AL,ALB,Korçë,,20848
Prrenjas,Prrenjas,41.0667,20.55,Albania,AL,ALB,Elbasan,,5847
Pukë,Puke,42.05,19.9,Albania,AL,ALB,Shkodër,,3607
Roskovec,Roskovec,40.7375,19.7022,Albania,AL,ALB,Fier,,6657
Rrëshen,Rreshen,41.7667,19.8833,Albania,AL,ALB,Lezhë,,8803
Rrogozhinë,Rrogozhine,41.0761,19.6667,Albania,AL,ALB,Tiranë,,7049
Sarandë,Sarande,39.8833,20.0167,Albania,AL,ALB,Vlorë,,41000
Shëngjin,Shengjin,41.8136,19.5939,Albania,AL,ALB,Lezhë,,8091
Shijak,Shijak,41.3456,19.5672,Albania,AL,ALB,Durrës,,7568
Shkodër,Shkoder,42.0667,19.5,Albania,AL,ALB,Shkodër,admin,112276
Sukth,Sukth,41.3833,19.5333,Albania,AL,ALB,Durrës,,15966
Tepelenë,Tepelene,40.3,20.0167,Albania,AL,ALB,Gjirokastër,,4342
Tirana,Tirana,41.33,19.82,Albania,AL,ALB,Tiranë,primary,418495
Vau i Dejës,Vau i Dejes,42,19.6333,Albania,AL,ALB,Shkodër,,8117
Vlorë,Vlore,40.45,19.4833,Albania,AL,ALB,Vlorë,admin,130827
’Aïn Abessa,'Ain Abessa,36.3,5.295,Algeria,DZ,DZA,Sétif,,16770
’Aïn Arnat,'Ain Arnat,36.1833,5.3167,Algeria,DZ,DZA,Sétif,,43551
’Aïn Azel,'Ain Azel,35.8433,5.5219,Algeria,DZ,DZA,Sétif,,48487
’Aïn el Hammam,'Ain el Hammam,36.5714,4.3097,Algeria,DZ,DZA,Tizi Ouzou,,20401
’Aïn Roua,'Ain Roua,36.3344,5.1806,Algeria,DZ,DZA,Sétif,,11499
Abadla,Abadla,31.0167,-2.7333,Algeria,DZ,DZA,Béchar,,14364
Abalessa,Abalessa,22.89,4.8472,Algeria,DZ,DZA,Tamanrasset,,9163
Adrar,Adrar,27.8742,-0.2939,Algeria,DZ,DZA,Adrar,admin,68276
Afir,Afir,36.7676,3.7029,Algeria,DZ,DZA,Boumerdes,,13223
Aïn Beïda,Ain Beida,35.7964,7.3928,Algeria,DZ,DZA,Oum el Bouaghi,,116064
Aïn Defla,Ain Defla,36.2583,1.9583,Algeria,DZ,DZA,Aïn Defla,admin,
Aïn Oussera,Ain Oussera,35.4489,2.9044,Algeria,DZ,DZA,Djelfa,,101239
Aïn Sefra,Ain Sefra,32.75,-0.5833,Algeria,DZ,DZA,Naama,,63420
Aïn Temouchent,Ain Temouchent,35.3044,-1.14,Algeria,DZ,DZA,Aïn Temouchent,admin,
Aïn Zaouïa,Ain Zaouia,36.5483,3.8942,Algeria,DZ,DZA,Tizi Ouzou,,17320
Aït Bou Madhi,Ait Bou Madhi,36.5009,4.2,Algeria,DZ,DZA,Tizi Ouzou,,6113
Aït Yaïch,Ait Yaich,36.5811,4.3303,Algeria,DZ,DZA,Tizi Ouzou,,14439
Akbou,Akbou,36.4667,4.5333,Algeria,DZ,DZA,Bejaïa,,52282
Algiers,Algiers,36.7764,3.0586,Algeria,DZ,DZA,Alger,primary,3415811
Amalou,Amalou,36.4778,4.6333,Algeria,DZ,DZA,Bejaïa,,8602
Amoucha,Amoucha,36.388,5.4108,Algeria,DZ,DZA,Sétif,,22767
Annaba,Annaba,36.9,7.7667,Algeria,DZ,DZA,Annaba,admin,257359
Aomar,Aomar,36.5,3.7833,Algeria,DZ,DZA,Bouira,,20532
Arbaoun,Arbaoun,36.4667,5.65,Algeria,DZ,DZA,Sétif,,19383
Arhribs,Arhribs,36.8022,4.3227,Algeria,DZ,DZA,Tizi Ouzou,,12474
Azazga,Azazga,36.7453,4.3711,Algeria,DZ,DZA,Tizi Ouzou,,34683
Azeffoun,Azeffoun,36.8961,4.4204,Algeria,DZ,DZA,Tizi Ouzou,,16847
Azzaba,Azzaba,36.7333,7.1,Algeria,DZ,DZA,Skikda,,56922
Batna,Batna,35.55,6.1667,Algeria,DZ,DZA,Batna,admin,290645
Béchar,Bechar,31.6333,-2.2,Algeria,DZ,DZA,Béchar,admin,165627
Bechloul,Bechloul,36.3167,4.0667,Algeria,DZ,DZA,Bouira,,11775
Bejaïa,Bejaia,36.7511,5.0642,Algeria,DZ,DZA,Bejaïa,admin,176139
Ben N’Choud,Ben N'Choud,36.8624,3.8806,Algeria,DZ,DZA,Boumerdes,,9985
Ben Nasseur,Ben Nasseur,33.1107,6.441,Algeria,DZ,DZA,Ouargla,,10330
Beni Abbès,Beni Abbes,30.08,-2.1,Algeria,DZ,DZA,Béchar,admin,10885
Beni Aïssi,Beni Aissi,29.6,0.25,Algeria,DZ,DZA,Adrar,,7628
Beni Amrane,Beni Amrane,36.6686,3.5922,Algeria,DZ,DZA,Boumerdes,,23621
Beni Douala,Beni Douala,36.6167,4.0667,Algeria,DZ,DZA,Tizi Ouzou,,21551
Beni Fouda,Beni Fouda,36.2861,5.6071,Algeria,DZ,DZA,Sétif,,17667
Beni Ounif,Beni Ounif,32.05,-1.25,Algeria,DZ,DZA,Béchar,,5628
Bir Ghbalou,Bir Ghbalou,36.2631,3.5866,Algeria,DZ,DZA,Médéa,,11016
Biskra,Biskra,34.85,5.7333,Algeria,DZ,DZA,Biskra,admin,204661
Blida,Blida,36.4722,2.8333,Algeria,DZ,DZA,Blida,admin,331779
Boghni,Boghni,36.5437,3.9523,Algeria,DZ,DZA,Tizi Ouzou,,31263
Bordj Bou Arreridj,Bordj Bou Arreridj,36.0667,4.7667,Algeria,DZ,DZA,Bordj Bou Arréridj,admin,168346
Bordj Menaïel,Bordj Menaiel,36.7417,3.7231,Algeria,DZ,DZA,Boumerdes,,64820
Bordj Mokhtar,Bordj Mokhtar,21.3289,0.9542,Algeria,DZ,DZA,Adrar,admin,16437
Bordj Okhriss,Bordj Okhriss,36.0833,3.9667,Algeria,DZ,DZA,Bouira,,10467
Bou Nouh,Bou Nouh,36.5,3.9333,Algeria,DZ,DZA,Tizi Ouzou,,9731
Bou Saâda,Bou Saada,35.2083,4.1739,Algeria,DZ,DZA,M’sila,,111787
Boudjima,Boudjima,36.814,4.1588,Algeria,DZ,DZA,Tizi Ouzou,,15628
Boufarik,Boufarik,36.575,2.9097,Algeria,DZ,DZA,Blida,,57162
Bouira,Bouira,36.3783,3.8925,Algeria,DZ,DZA,Bouira,admin,68545
Boukhralfa,Boukhralfa,36.6144,5.0872,Algeria,DZ,DZA,Bejaïa,,8766
Boumerdes,Boumerdes,36.7594,3.4728,Algeria,DZ,DZA,Boumerdes,admin,41685
Charouine,Charouine,29.0167,-0.2667,Algeria,DZ,DZA,Adrar,,11347
Chlef,Chlef,36.1647,1.3317,Algeria,DZ,DZA,Chlef,admin,155134
Chorfa,Chorfa,36.3617,4.3307,Algeria,DZ,DZA,Bouira,,16173
Constantine,Constantine,36.365,6.6147,Algeria,DZ,DZA,Constantine,admin,448374
Dellys,Dellys,36.9167,3.8833,Algeria,DZ,DZA,Boumerdes,,32954
Didouche Mourad,Didouche Mourad,36.4484,6.6339,Algeria,DZ,DZA,Constantine,,33266
Djanet,Djanet,24.555,9.4853,Algeria,DZ,DZA,Illizi,admin,14655
Djelfa,Djelfa,34.6667,3.25,Algeria,DZ,DZA,Djelfa,admin,265833
Djinet,Djinet,36.877,3.7231,Algeria,DZ,DZA,Boumerdes,,21966
Draa Ben Khedda,Draa Ben Khedda,36.7349,3.9556,Algeria,DZ,DZA,Boumerdes,,31382
Draa el Mizan,Draa el Mizan,36.5333,3.8333,Algeria,DZ,DZA,Bouira,,38886
El Adjiba,El Adjiba,36.3333,4.15,Algeria,DZ,DZA,Bouira,,12486
El Bayadh,El Bayadh,33.6831,1.0192,Algeria,DZ,DZA,El Bayadh,admin,85577
El Eulma,El Eulma,36.1528,5.69,Algeria,DZ,DZA,Sétif,,155038
El Golea,El Golea,30.6,2.9,Algeria,DZ,DZA,Ghardaïa,admin,40195
El Maïn,El Main,36.3667,4.75,Algeria,DZ,DZA,Bejaïa,,6238
El Meghaïer,El Meghaier,33.9506,5.9242,Algeria,DZ,DZA,El Oued,admin,
El Milia,El Milia,36.75,6.2667,Algeria,DZ,DZA,Jijel,,83931
El Oued,El Oued,33.3683,6.8675,Algeria,DZ,DZA,El Oued,admin,134699
El Tarf,El Tarf,36.7669,8.3136,Algeria,DZ,DZA,El Tarf,admin,25594
Es Senia,Es Senia,35.6478,-0.6239,Algeria,DZ,DZA,Oran,,96928
Freha,Freha,36.762,4.3163,Algeria,DZ,DZA,Tizi Ouzou,,24228
Ghardaïa,Ghardaia,32.4833,3.6667,Algeria,DZ,DZA,Ghardaïa,admin,120000
Guelma,Guelma,36.4619,7.4258,Algeria,DZ,DZA,Guelma,admin,120004
Hassi Messaoud,Hassi Messaoud,31.7,6.0667,Algeria,DZ,DZA,Ouargla,,45147
Iferhounene,Iferhounene,36.5338,4.3701,Algeria,DZ,DZA,Tizi Ouzou,,12460
Ifigha,Ifigha,36.6667,4.4167,Algeria,DZ,DZA,Tizi Ouzou,,9160
Iflissen,Iflissen,36.8636,4.2203,Algeria,DZ,DZA,Tizi Ouzou,,14311
Illizi,Illizi,26.508,8.4829,Algeria,DZ,DZA,Illizi,admin,17252
In Guezzam,In Guezzam,19.5686,5.7722,Algeria,DZ,DZA,Tamanrasset,admin,7045
I-n-Amenas,I-n-Amenas,28.05,9.55,Algeria,DZ,DZA,Illizi,,9225
I-n-Amguel,I-n-Amguel,23.6936,5.1647,Algeria,DZ,DZA,Tamanrasset,,3030
I-n-Salah,I-n-Salah,27.1936,2.4606,Algeria,DZ,DZA,Tamanrasset,admin,32518
Jijel,Jijel,36.8206,5.7667,Algeria,DZ,DZA,Jijel,admin,131513
Kadiria,Kadiria,36.5333,3.6833,Algeria,DZ,DZA,Bouira,,22327
Khenchela,Khenchela,35.4167,7.1333,Algeria,DZ,DZA,Khenchela,admin,108580
L’Arbaa Naït Irathen,L'Arbaa Nait Irathen,36.6367,4.2067,Algeria,DZ,DZA,Tizi Ouzou,,29376
Laghouat,Laghouat,33.8,2.865,Algeria,DZ,DZA,Laghouat,admin,134372
Lakhdaria,Lakhdaria,36.6167,3.5833,Algeria,DZ,DZA,Bouira,,59746
M’Sila,M'Sila,35.7058,4.5419,Algeria,DZ,DZA,M’sila,admin,150000
Makouda,Makouda,36.7909,4.0669,Algeria,DZ,DZA,Boumerdes,,23388
Mascara,Mascara,35.4,0.1333,Algeria,DZ,DZA,Mascara,admin,108587
Mecheria,Mecheria,33.55,-0.2833,Algeria,DZ,DZA,Naama,,65043
Mechtras,Mechtras,36.5448,4.0049,Algeria,DZ,DZA,Tizi Ouzou,,12683
Médéa,Medea,36.2675,2.75,Algeria,DZ,DZA,Médéa,admin,138355
Mekla,Mekla,36.6876,4.2681,Algeria,DZ,DZA,Tizi Ouzou,,24237
Messaad,Messaad,34.1542,3.4969,Algeria,DZ,DZA,Djelfa,,102453
Mila,Mila,36.4481,6.2622,Algeria,DZ,DZA,Mila,admin,
Mostaganem,Mostaganem,35.9333,0.0903,Algeria,DZ,DZA,Mostaganem,admin,145696
Moudjbara,Moudjbara,34.5037,3.4704,Algeria,DZ,DZA,Djelfa,,14052
Naama,Naama,33.2678,-0.3111,Algeria,DZ,DZA,Naama,admin,16251
Naciria,Naciria,36.75,3.8333,Algeria,DZ,DZA,Boumerdes,,22431
Oran,Oran,35.6969,-0.6331,Algeria,DZ,DZA,Oran,admin,852000
Ouadhia,Ouadhia,36.55,4.0833,Algeria,DZ,DZA,Tizi Ouzou,,15771
Ouargla,Ouargla,31.95,5.3167,Algeria,DZ,DZA,Ouargla,admin,133024
Ouled Djellal,Ouled Djellal,34.4167,5.0667,Algeria,DZ,DZA,Biskra,admin,
Ouled Moussa,Ouled Moussa,36.6831,3.3681,Algeria,DZ,DZA,Boumerdes,,45770
Ouled Rached,Ouled Rached,36.2119,4.1106,Algeria,DZ,DZA,Bouira,,9311
Oum el Bouaghi,Oum el Bouaghi,35.8706,7.115,Algeria,DZ,DZA,Oum el Bouaghi,admin,100821
Reggane,Reggane,26.7,0.1667,Algeria,DZ,DZA,Adrar,,20402
Relizane,Relizane,35.7372,0.5558,Algeria,DZ,DZA,Relizane,admin,130094
Saïda,Saida,34.8303,0.1517,Algeria,DZ,DZA,Saïda,admin,128413
Sali,Sali,26.9833,-0.0333,Algeria,DZ,DZA,Adrar,,13138
Seddouk Oufella,Seddouk Oufella,36.6061,4.6389,Algeria,DZ,DZA,Bejaïa,,8931
Sétif,Setif,36.19,5.41,Algeria,DZ,DZA,Sétif,admin,288461
Si Mustapha,Si Mustapha,36.7247,3.6153,Algeria,DZ,DZA,Boumerdes,,12087
Sidi Bel Abbès,Sidi Bel Abbes,35.2,-0.6333,Algeria,DZ,DZA,Sidi Bel Abbès,admin,212935
Sidi Daoud,Sidi Daoud,36.85,3.85,Algeria,DZ,DZA,Boumerdes,,16900
Sidi Namane,Sidi Namane,36.7581,3.9839,Algeria,DZ,DZA,Boumerdes,,10688
Skikda,Skikda,36.8667,6.9,Algeria,DZ,DZA,Skikda,admin,163318
Souama,Souama,36.6417,4.3416,Algeria,DZ,DZA,Tizi Ouzou,,9954
Souk Ahras,Souk Ahras,36.2864,7.9511,Algeria,DZ,DZA,Souk Ahras,admin,155259
Souk el Had,Souk el Had,36.6909,3.5889,Algeria,DZ,DZA,Boumerdes,,6693
Souma,Souma,36.5183,2.9053,Algeria,DZ,DZA,Blida,,37461
Tadmaït,Tadmait,36.7427,3.9019,Algeria,DZ,DZA,Boumerdes,,22838
Takerbouzt,Takerbouzt,36.418,4.3428,Algeria,DZ,DZA,Bouira,,14000
Tala Yfassene,Tala Yfassene,36.4583,5.0889,Algeria,DZ,DZA,Sétif,,20337
Tamanrasset,Tamanrasset,22.785,5.5228,Algeria,DZ,DZA,Tamanrasset,admin,76000
Taourga,Taourga,36.7938,3.9463,Algeria,DZ,DZA,Boumerdes,,7882
Tassamert,Tassamert,36.2693,4.823,Algeria,DZ,DZA,Bordj Bou Arréridj,,5269
Tébessa,Tebessa,35.4,8.1167,Algeria,DZ,DZA,Tébessa,admin,194461
Thenia,Thenia,36.7278,3.5539,Algeria,DZ,DZA,Boumerdes,,21439
Tiaret,Tiaret,35.3667,1.3167,Algeria,DZ,DZA,Tiaret,admin,178915
Tichi,Tichi,36.6675,5.1601,Algeria,DZ,DZA,Bejaïa,,16546
Tifra,Tifra,36.6664,4.6972,Algeria,DZ,DZA,Bejaïa,,8547
Tigzirt,Tigzirt,36.8931,4.1225,Algeria,DZ,DZA,Tizi Ouzou,,11962
Timimoun,Timimoun,29.25,0.2333,Algeria,DZ,DZA,Adrar,admin,33060
Timizart,Timizart,36.8,4.2667,Algeria,DZ,DZA,Tizi Ouzou,,28996
Timoktene,Timoktene,27.0217,1.015,Algeria,DZ,DZA,Adrar,,18598
Tindouf,Tindouf,27.6753,-8.1286,Algeria,DZ,DZA,Tindouf,admin,45610
