PortName,AlternateName,Country,WaterBody,HarborSize,HarborType,HarborUse,Railway,Latitude,Longitude
Shengjin,San Giovani Di Medua,Albania,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,41.816667,19.6
Durres,Durazzo,Albania,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Large,41.316667,19.45
Vlores, ,Albania,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,40.466667,19.5
Annaba,Bona; Bone,Algeria,Mediterranean Sea; North Atlantic Ocean,Medium,Coastal (Breakwater),Unknown,Medium,36.916667,7.766667
Skikda,Phillippeville,Algeria,Mediterranean Sea; North Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Medium,36.883333,6.916667
Port Methanier, ,Algeria,Mediterranean Sea; North Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Unknown,36.883333,6.95
Collo, ,Algeria,Mediterranean Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,37,6.583333
Bejaia,Bougie,Algeria,Mediterranean Sea; North Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Medium,36.75,5.083333
Dellys, ,Algeria,Mediterranean Sea; North Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Unknown,36.916667,3.916667
Alger,Algiers,Algeria,Mediterranean Sea; North Atlantic Ocean,Large,Coastal (Breakwater),Unknown,Large,36.766667,3.066667
Tenes, ,Algeria,Mediterranean Sea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,36.533333,1.316667
Mostaganem, ,Algeria,Mediterranean Sea; North Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Small,35.933333,0.083333
Arzew, ,Algeria,Mediterranean Sea; North Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Small,35.85,-0.3
Arzew El Djedid, ,Algeria,Mediterranean Sea; North Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Small,35.816667,-0.25
Oran, ,Algeria,Mediterranean Sea; North Atlantic Ocean,Large,Coastal (Breakwater),Unknown,Large,35.7,-0.633333
Mers El Kebir, ,Algeria,Mediterranean Sea; North Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Unknown,35.733333,-0.7
Beni Saf, ,Algeria,Mediterranean Sea; North Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Small,35.3,-1.383333
Ghazaouet,Nemours,Algeria,Mediterranean Sea; North Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Large,35.1,-1.866667
Pago Pago Harbor, ,American Samoa,South Pacific Ocean,Small,Coastal (Natural),Unknown,Small,-14.283333,-170.666667
Takula Terminal, ,Angola,South Atlantic Ocean,Small,Open Roadstead,Unknown,Unknown,-5.216667,11.783333
Malongo Oil Terminal, ,Angola,South Atlantic Ocean,Small,Open Roadstead,Unknown,Unknown,-5.433333,12.083333
Kuito Oil Field, ,Angola,South Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,-5.466667,11.5
Cabinda,Kabinda,Angola,South Atlantic Ocean,Small,Open Roadstead,Unknown,Unknown,-5.533333,12.2
Futila Terminal, ,Angola,South Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,-5.45,12.183333
Kizomba A Terminal, ,Angola,South Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,-6.316667,11.05
Kizomba B Terminal, ,Angola,South Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,-6.35,11.15
Kizomba C Terminal, ,Angola,South Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,-6.316667,11.283333
Psvm Terminal, ,Angola,South Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,-6.25,10.733333
Palanca Terminal, ,Angola,South Atlantic Ocean,Small,Open Roadstead,Unknown,Unknown,-6.95,12.4
Dalia Terminal, ,Angola,South Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,-7.683333,11.766667
Greater Plutonio Terminal, ,Angola,South Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,-7.833333,12.1
Luanda, ,Angola,South Atlantic Ocean,Small,Coastal (Natural),Unknown,Unknown,-8.8,13.25
Porto Amboim, ,Angola,South Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,-10.733333,13.75
Sumbe,Gunza-Kabolo; Nova Redonda,Angola,South Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,-11.2,13.833333
Lobito, ,Angola,South Atlantic Ocean,Small,Coastal (Natural),Unknown,Unknown,-12.333333,13.566667
Namibe,Mocamedes,Angola,South Atlantic Ocean,Small,Open Roadstead,Unknown,Small,-15.2,12.15
Ellefsen Harbor, ,Antarctica,Scotia Sea; South Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,-60.733333,-45.033333
Scotia Bay, ,Antarctica,Scotia Sea; South Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,-60.75,-44.716667
Admiralty Bay, ,Antarctica,Bransfield Strait; Drake Passage; South Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,-62.083333,-58.416667
Port Foster, ,Antarctica,Bransfield Strait; Drake Passage; South Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,-62.95,-60.633333
Port Lockroy, ,Antarctica,South Pacific Ocean,Very Small,Coastal (Natural),Unknown,Unknown,-64.816667,-63.5
Melchior Harbor, ,Antarctica,South Pacific Ocean,Very Small,Coastal (Natural),Unknown,Unknown,-64.316667,-63
Andersen Harbor, ,Antarctica,South Pacific Ocean,Very Small,Coastal (Natural),Unknown,Unknown,-64.316667,-62.933333
Mcmurdo Station, ,Antarctica,Ross Sea; South Pacific Ocean,Small,Coastal (Natural),Unknown,Unknown,-77.85,166.65
St Johns, ,Antigua and Barbuda,Caribbean Sea; North Atlantic Ocean,Medium,Open Roadstead,Unknown,Unknown,17.116667,-61.85
San Nicolas, ,Argentina,Rio de la Plata; South Atlantic Ocean,Very Small,River (Natural),Unknown,Unknown,-33.333333,-60.233333
San Pedro,Puerto Obligado,Argentina,Rio de la Plata; South Atlantic Ocean,Very Small,River (Natural),Unknown,Unknown,-33.583333,-59.816667
Puerto Ibicuy, ,Argentina,Rio de la Plata; South Atlantic Ocean,Very Small,River (Natural),Unknown,Unknown,-33.75,-59.183333
Zarate, ,Argentina,Rio de la Plata; South Atlantic Ocean,Small,River (Natural),Unknown,Unknown,-34.083333,-59.033333
Campana, ,Argentina,Rio de la Plata; South Atlantic Ocean,Small,River (Natural),Unknown,Unknown,-34.15,-58.966667
Buenos Aires, ,Argentina,Rio de la Plata; South Atlantic Ocean,Large,Coastal (Breakwater),Unknown,Large,-34.6,-58.366667
La Plata,Eva Peron,Argentina,Rio de la Plata; South Atlantic Ocean,Medium,River (Basins),Unknown,Unknown,-34.833333,-57.883333
Mar Del Plata,Puerto Mar Del Plata,Argentina,South Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Medium,-38.033333,-57.533333
Quequen,Necochea,Argentina,South Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Medium,-38.583333,-58.7
Puerto Rosales,Puerto Arroyo Pareja; Puerto Pareja,Argentina,South Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Small,-38.933333,-62.066667
Puerto Belgrano,Punta Alta,Argentina,South Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Medium,-38.883333,-62.1
Bahia Blanca, ,Argentina,South Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,-38.783333,-62.266667
Puerto Ingeniero White, ,Argentina,South Atlantic Ocean,Small,Coastal (Natural),Unknown,Medium,-38.8,-62.266667
Puerto Nacional, ,Argentina,South Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Medium,-38.8,-62.283333
San Blas, ,Argentina,South Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,-40.566667,-62.233333
Puerto Madryn,Port Madryn,Argentina,South Atlantic Ocean,Small,Coastal (Natural),Unknown,Unknown,-42.766667,-65.033333
Comodoro Rivadavia, ,Argentina,Golfo San Jorge; South Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Unknown,-45.866667,-67.466667
Puerto Deseado, ,Argentina,South Atlantic Ocean,Very Small,River (Natural),Unknown,Unknown,-47.75,-65.9
Puerto San Julian,Chokrak,Argentina,South Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,-49.316667,-67.7
Puerto Santa Cruz, ,Argentina,South Atlantic Ocean,Very Small,River (Natural),Unknown,Unknown,-50.016667,-68.516667
Puerto Gallegos,Rio Gallegos,Argentina,South Atlantic Ocean,Very Small,River (Natural),Unknown,Unknown,-51.616667,-68.966667
San Sebastian Bay, ,Argentina,South Atlantic Ocean,Small,Coastal (Natural),Unknown,Unknown,-53.166667,-68.5
Ushuaia, ,Argentina,Drake Passage; South Atlantic Ocean,Small,Coastal (Natural),Unknown,Unknown,-54.816667,-68.3
Sint Nicolaas Baai,Sint Nicolaashaven; St Nicolass,Aruba,Caribbean Sea; North Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Small,12.433333,-69.916667
Paarden Baai - (Oranjestad), ,Aruba,Caribbean Sea; North Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Unknown,12.516667,-70.033333
Thursday Island,Port Kennedy,Australia,Torres Strait; South Pacific Ocean,Small,Coastal (Natural),Unknown,Unknown,-10.583333,142.216667
Cape Flattery Harbor, ,Australia,Coral Sea; South Pacific Ocean,Small,Open Roadstead,Unknown,Unknown,-14.95,145.35
Cairns, ,Australia,Coral Sea; South Pacific Ocean,Small,River (Natural),Unknown,Small,-16.916667,145.783333
Mourilyan Harbour, ,Australia,Coral Sea; South Pacific Ocean,Small,Coastal (Natural),Unknown,Small,-17.6,146.133333
Lucinda, ,Australia,Coral Sea; South Pacific Ocean,Very Small,Open Roadstead,Unknown,Small,-18.516667,146.333333
Townsville, ,Australia,Coral Sea; South Pacific Ocean,Small,Coastal (Breakwater),Unknown,Medium,-19.266667,146.816667
Mackay, ,Australia,Coral Sea; South Pacific Ocean,Small,Coastal (Breakwater),Unknown,Small,-21.116667,149.216667
Hay Point, ,Australia,Coral Sea; South Pacific Ocean,Small,Open Roadstead,Unknown,Small,-21.283333,149.3
Port Alma, ,Australia,Coral Sea; South Pacific Ocean,Very Small,River (Natural),Unknown,Unknown,-23.583333,150.85
Gladstone,Port Curtis,Australia,Coral Sea; South Pacific Ocean,Small,River (Natural),Unknown,Large,-23.85,151.25
Bundaberg, ,Australia,Coral Sea; South Pacific Ocean,Very Small,River (Natural),Unknown,Small,-24.866667,152.35
Brisbane, ,Australia,South Pacific Ocean,Large,River (Natural),Unknown,Unknown,-27.466667,153.033333
Newcastle, ,Australia,Tasman Sea; South Pacific Ocean,Large,Coastal (Breakwater),Unknown,Unknown,-32.916667,151.783333
Sydney, ,Australia,Tasman Sea; South Pacific Ocean,Large,Coastal (Natural),Cargo,Large,-33.866667,151.2
Port Kembla, ,Australia,Tasman Sea; South Pacific Ocean,Medium,Coastal (Breakwater),Unknown,Large,-34.483333,150.916667
Jervis Bay, ,Australia,Tasman Sea; South Pacific Ocean,Very Small,Coastal (Natural),Unknown,Unknown,-35.116667,150.8
Batemans Bay, ,Australia,Tasman Sea; South Pacific Ocean,Very Small,Coastal (Natural),Unknown,Unknown,-35.7,150.166667
Eden, ,Australia,Tasman Sea; South Pacific Ocean,Very Small,Coastal (Breakwater),Unknown,Unknown,-37.066667,149.916667
Welshpool,Port Wellshpool,Australia,Bass Strait; South Pacific Ocean,Very Small,Coastal (Natural),Unknown,Unknown,-38.7,146.466667
Western Port,Hastings,Australia,Bass Strait; South Pacific Ocean,Very Small,Coastal (Natural),Unknown,Small,-38.35,145.233333
Melbourne, ,Australia,Bass Strait; South Pacific Ocean,Large,Coastal (Natural),Unknown,Large,-37.833333,144.966667
Geelong, ,Australia,Bass Strait; South Pacific Ocean,Medium,Coastal (Natural),Cargo,Medium,-38.15,144.366667
Portland, ,Australia,Indian Ocean,Small,Coastal (Breakwater),Unknown,Unknown,-38.333333,141.6
Port Adelaide, ,Australia,Indian Ocean,Medium,River (Natural),Unknown,Large,-34.85,138.5
Ardrossan, ,Australia,Indian Ocean,Very Small,Open Roadstead,Unknown,Unknown,-34.433333,137.916667
Port Giles, ,Australia,Indian Ocean,Very Small,Open Roadstead,Unknown,Unknown,-35.033333,137.766667
Wallaroo, ,Australia,Spencer Gulf; Indian Ocean,Very Small,Open Roadstead,Unknown,Small,-33.933333,137.616667
Port Pirie, ,Australia,Spencer Gulf; Indian Ocean,Small,River (Natural),Unknown,Small,-33.183333,138.016667
Whyalla, ,Australia,Spencer Gulf; Indian Ocean,Small,Coastal (Breakwater),Unknown,Medium,-33.033333,137.583333
Port Bonython,Stony Point,Australia,Spencer Gulf; Indian Ocean,Small,Open Roadstead,Unknown,Unknown,-33.016667,137.766667
Port Lincoln, ,Australia,Spencer Gulf; Indian Ocean,Medium,Coastal (Breakwater),Unknown,Small,-34.716667,135.85
Thevenard, ,Australia,Great Australian Bight; Indian Ocean,Small,Coastal (Natural),Unknown,Unknown,-32.166667,133.65
Esperance, ,Australia,Indian Ocean,Very Small,Coastal (Breakwater),Unknown,Small,-33.866667,121.9
Albany,Princess Royal Harbor,Australia,Indian Ocean,Small,Coastal (Natural),Unknown,Medium,-35.033333,117.883333
Bunbury, ,Australia,Indian Ocean,Small,Coastal (Breakwater),Unknown,Small,-33.316667,115.633333
Fremantle, ,Australia,Indian Ocean,Large,Coastal (Breakwater),Cargo,Medium,-32.05,115.75
Geraldton, ,Australia,Indian Ocean,Very Small,Coastal (Breakwater),Cargo,Small,-28.783333,114.6
Useless Loop, ,Australia,Indian Ocean,Very Small,Open Roadstead,Unknown,Unknown,-26.083333,113.4
Cape Cuvier, ,Australia,Indian Ocean,Very Small,Open Roadstead,Unknown,Unknown,-24.216667,113.383333
Point Murat, ,Australia,Indian Ocean,Very Small,Open Roadstead,Unknown,Unknown,-21.816667,114.183333
Onslow, ,Australia,Indian Ocean,Very Small,Open Roadstead,Unknown,Unknown,-21.65,115.1
Port Walcott,Cossack; Samson Point,Australia,Indian Ocean,Very Small,Open Roadstead,Unknown,Unknown,-20.65,117.183333
Dampier, ,Australia,Indian Ocean,Medium,Coastal (Breakwater),Unknown,Unknown,-20.633333,116.716667
Broome, ,Australia,Indian Ocean,Small,Coastal (Natural),Unknown,Unknown,-17.966667,122.233333
Wyndham, ,Australia,Joseph Bonaparte Gulf; Timor Sea; Indian Ocean,Very Small,River (Natural),Unknown,Unknown,-15.466667,128.1
Darwin, ,Australia,Timor Sea; Indian Ocean,Medium,Coastal (Natural),Cargo,Small,-12.47138889,130.8477778
Milner Bay, ,Australia,Gulf of Carpentaria; Arafura Sea; South Pacific Ocean,Very Small,Open Roadstead,Unknown,Unknown,-13.866667,136.416667
Weipa, ,Australia,Gulf of Carpentaria; Arafura Sea; South Pacific Ocean,Very Small,Coastal (Natural),Unknown,Unknown,-12.666667,141.866667
Gove, ,Australia,Arafura Sea; South Pacific Ocean,Very Small,Open Roadstead,Unknown,Unknown,-12.2,136.7
Karumba, ,Australia,Gulf of Carpentaria; Arafura Sea; South Pacific Ocean,Very Small,River (Natural),Unknown,Unknown,-17.483333,140.833333
Hobart, ,Australia,South Pacific Ocean,Medium,River (Natural),Cargo,Large,-42.883333,147.333333
Port Huon, ,Australia,South Pacific Ocean,Very Small,River (Natural),Unknown,Unknown,-43.166667,146.983333
Dover, ,Australia,South Pacific Ocean,Very Small,Coastal (Natural),Unknown,Unknown,-43.316667,147.033333
Port Latta, ,Australia,Bass Strait; South Pacific Ocean,Very Small,Open Roadstead,Unknown,Small,-40.833333,145.383333
Burnie, ,Australia,Bass Strait; South Pacific Ocean,Small,Coastal (Breakwater),Unknown,Medium,-41.05,145.95
Devonport, ,Australia,Bass Strait; South Pacific Ocean,Small,River (Basins),Unknown,Medium,-41.183333,146.366667
Port Dalrymple, ,Australia,Bass Strait; South Pacific Ocean,Medium,Coastal (Natural),Unknown,Unknown,-41.133333,146.833333
Beauty Point, ,Australia,Bass Strait; South Pacific Ocean,Small,Coastal (Natural),Unknown,Unknown,-41.15,146.816667
Launceston, ,Australia,Bass Strait; South Pacific Ocean,Small,River (Natural),Unknown,Unknown,-41.45,147.116667
Al Manamah, ,Bahrain,Persian Gulf; Indian Ocean,Small,Coastal (Natural),Unknown,Unknown,26.233333,50.583333
Sitrah,Jazirat Sitrah,Bahrain,Persian Gulf; Indian Ocean,Medium,Open Roadstead,Unknown,Unknown,26.166667,50.666667
Mina Salman,Khor Kaliya,Bahrain,Persian Gulf; Indian Ocean,Medium,Coastal (Natural),Unknown,Medium,26.2,50.633333
Khalifa Bin Salman, ,Bahrain,Persian Gulf; Indian Ocean,Medium,Coastal (Breakwater),Unknown,Unknown,26.25,50.75
Mongla,Chalna Bazar,Bangladesh,Bay of Bengal; Indian Ocean,Small,River (Natural),Unknown,Unknown,22.466667,89.6
Chittagong, ,Bangladesh,Bay of Bengal; Indian Ocean,Medium,River (Natural),Unknown,Small,22.316667,91.816667
Bridgetown, ,Barbados,North Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Unknown,13.1,-59.633333
Antwerpen,Antwerp; Anvers,Belgium,North Sea; North Atlantic Ocean,Large,River (Tide Gates),Unknown,Unknown,51.216667,4.4
Bruxelles,Brussels,Belgium,North Sea; North Atlantic Ocean,Small,River (Tide Gates),Unknown,Small,50.866667,4.35
Ghent,Ghent,Belgium,North Sea; North Atlantic Ocean,Medium,Canal or Lake,Unknown,Medium,51.066667,3.733333
Zeebrugge, ,Belgium,North Sea; North Atlantic Ocean,Medium,Coastal (Breakwater),Unknown,Large,51.333333,3.2
Oostende,Ostend,Belgium,North Sea; North Atlantic Ocean,Small,River (Tide Gates),Unknown,Medium,51.233333,2.916667
Nieuwpoort, ,Belgium,North Sea; North Atlantic Ocean,Very Small,Canal or Lake,Unknown,Small,51.133333,2.75
Belize City, ,Belize,Caribbean Sea; North Atlantic Ocean,Small,Open Roadstead,Unknown,Small,17.5,-88.183333
Cotonou,Appi; Kentou; Kotonu,Benin,Bight of Benin; Gulf of Guinea; North Atlantic Ocean,Medium,Coastal (Breakwater),Unknown,Large,6.35,2.433333
St George,Saint George's Harbor,Bermuda,North Atlantic Ocean,Small,Coastal (Natural),Unknown,Medium,32.383333,-64.683333
Ireland Island,Freeport,Bermuda,North Atlantic Ocean,Medium,Coastal (Breakwater),Unknown,Unknown,32.316667,-64.833333
Hamilton, ,Bermuda,North Atlantic Ocean,Small,Coastal (Natural),Unknown,Small,32.3,-64.783333
Porto Santana, ,Brazil,South Atlantic Ocean,Very Small,River (Natural),Unknown,Unknown,-0.05,-51.183333
Belem,Para,Brazil,South Atlantic Ocean,Medium,River (Natural),Unknown,Small,-1.45,-48.5
Vila Do Conde, ,Brazil,South Atlantic Ocean,Very Small,River (Natural),Unknown,Unknown,-1.55,-48.75
Cameta, ,Brazil,South Atlantic Ocean,Very Small,Typhoon Harbor,Unknown,Unknown,-2.25,-49.5
Santarem, ,Brazil,South Atlantic Ocean,Very Small,Typhoon Harbor,Unknown,Unknown,-2.416667,-54.716667
Manaus,Manaos,Brazil,South Atlantic Ocean,Small,River (Natural),Unknown,Small,-3.133333,-60.016667
Itaqui, ,Brazil,South Atlantic Ocean,Small,Coastal (Natural),Unknown,Large,-2.566667,-44.366667
Tutoia,Tutoya,Brazil,South Atlantic Ocean,Very Small,River (Natural),Unknown,Unknown,-2.783333,-42.283333
Camocim, ,Brazil,South Atlantic Ocean,Very Small,River (Natural),Unknown,Unknown,-2.9,-40.833333
Porto De Mucuripe,Ceara; Fortaleza,Brazil,South Atlantic Ocean,Small,Open Roadstead,Unknown,Small,-3.716667,-38.483333
Guamare Oil Terminal, ,Brazil,South Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,-4.866667,-36.283333
Natal, ,Brazil,South Atlantic Ocean,Small,River (Natural),Unknown,Medium,-5.783333,-35.2
Recife,Pernambuco,Brazil,South Atlantic Ocean,Medium,Coastal (Breakwater),Unknown,Medium,-8.05,-34.866667
Porto De Suape, ,Brazil,South Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Small,-8.4,-34.966667
Porto De Maceio, ,Brazil,South Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Large,-9.666667,-35.733333
Port De Aracaju,Carmopolis,Brazil,South Atlantic Ocean,Small,River (Natural),Unknown,Medium,-10.916667,-37.05
Port De Salvador,Bahia Salvador,Brazil,South Atlantic Ocean,Medium,Coastal (Breakwater),Unknown,Medium,-12.966667,-38.516667
Port Of Ilheus,Malhado; Porto De Ilheus; Sao Jorges Dos Ilheus,Brazil,South Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Small,-14.783333,-39.016667
Portocel, ,Brazil,South Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Unknown,-19.85,-40.05
Vitoria,Victoria,Brazil,South Atlantic Ocean,Medium,River (Natural),Unknown,Medium,-20.316667,-40.333333
Tubarao, ,Brazil,South Atlantic Ocean,Large,Coastal (Breakwater),Unknown,Large,-20.283333,-40.25
Dtse / Gegua Oil Terminal, ,Brazil,South Atlantic Ocean,Medium,Open Roadstead,Unknown,Unknown,-22.816667,-43.15
Porto Do Forno,Arraial Do Cabo; Arrail Do Caeo,Brazil,South Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,-22.966667,-42.016667
Rio De Janeiro, ,Brazil,South Atlantic Ocean,Large,Coastal (Natural),Unknown,Small,-22.9,-43.166667
Niteroi,Nictheroy,Brazil,South Atlantic Ocean,Small,Coastal (Natural),Unknown,Small,-22.883333,-43.116667
Guaiba Island Terminal,Sepetiba Terminal,Brazil,South Atlantic Ocean,Small,Coastal (Natural),Unknown,Small,-23.016667,-44.033333
Angra Dos Reis, ,Brazil,South Atlantic Ocean,Small,Coastal (Natural),Unknown,Small,-23.016667,-44.316667
Gebig, ,Brazil,South Atlantic Ocean,Small,Open Roadstead,Unknown,Unknown,-23.05,-44.216667
Sao Sebastiao, ,Brazil,South Atlantic Ocean,Small,Open Roadstead,Unknown,Unknown,-23.8,-45.4
Santos, ,Brazil,South Atlantic Ocean,Large,Coastal (Natural),Unknown,Large,-23.95,-46.3
Paranagua, ,Brazil,South Atlantic Ocean,Small,Coastal (Natural),Unknown,Medium,-25.5,-48.516667
Sao Francisco, ,Brazil,South Atlantic Ocean,Small,River (Natural),Unknown,Small,-26.25,-48.633333
Itajai, ,Brazil,South Atlantic Ocean,Medium,River (Natural),Unknown,Unknown,-26.916667,-48.633333
Imbituba, ,Brazil,South Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Small,-28.233333,-48.666667
Tramandai,Maritimo Almirande; Tranmandai,Brazil,South Atlantic Ocean,Small,Open Roadstead,Unknown,Small,-29.983333,-50.133333
Rio Grande,San Pedro Do Sul; Sao Pedro Do Sul,Brazil,South Atlantic Ocean,Large,River (Natural),Unknown,Medium,-32.05,-52.083333
Porto Alegre, ,Brazil,South Atlantic Ocean,Medium,River (Natural),Unknown,Small,-30.033333,-51.233333
Diego Garcia, ,British Indian Ocean Territory,Indian Ocean,Very Small,Coastal (Breakwater),Unknown,Unknown,-7.35,72.466667
Road Harbor, ,British Virgin Islands,Caribbean Sea; North Atlantic Ocean,Medium,Coastal (Natural),Unknown,Small,18.416667,-64.616667
Muara Harbor,Brooketon,Brunei,South China Sea; North Pacific Ocean,Small,Coastal (Natural),Unknown,Unknown,5.033333,115.066667
Bandar Seri Begawan, ,Brunei,South China Sea; North Pacific Ocean,Small,River (Natural),Unknown,Unknown,4.883333,114.883333
Lumut, ,Brunei,South China Sea; North Pacific Ocean,Very Small,Open Roadstead,Unknown,Unknown,4.716667,114.45
Burgas,Burghaz; Druiba,Bulgaria,Black Sea; North Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Large,42.483333,27.483333
Varna,Stalin,Bulgaria,Black Sea; North Atlantic Ocean,Large,Coastal (Breakwater),Unknown,Large,43.183333,27.966667
Bassein, ,Burma,Andaman Sea; Indian Ocean,Small,River (Natural),Unknown,Small,16.783333,94.733333
Rangoon, ,Burma,Andaman Sea; Indian Ocean,Small,River (Natural),Unknown,Medium,16.766667,96.166667
Moulmein Harbor, ,Burma,Andaman Sea; Indian Ocean,Small,River (Natural),Unknown,Small,16.483333,97.616667
Mergui, ,Burma,Andaman Sea; Indian Ocean,Small,River (Natural),Unknown,Unknown,12.433333,98.6
Porto Grande,Mindelo,Cabo Verde,North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,16.883333,-25
Porto Da Praia, ,Cabo Verde,North Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Unknown,14.916667,-23.516667
Kampong Saom,Krong Preah Sihanouk; Sihanoukville,Cambodia,Gulf of Thailand; South China Sea; North Pacific Ocean,Medium,Coastal (Breakwater),Unknown,Small,10.633333,103.5
Phsar Ream,Ream,Cambodia,Gulf of Thailand; South China Sea; North Pacific Ocean,Very Small,Coastal (Natural),Unknown,Unknown,10.5,103.6
Douala,Duala,Cameroon,Gulf of Guinea; North Atlantic Ocean,Medium,River (Natural),Unknown,Large,4.05,9.683333
Kole Oil Terminal, ,Cameroon,Gulf of Guinea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,4.25,8.55
Moudi Marine Terminal, ,Cameroon,Gulf of Guinea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,4.116667,8.483333
Ebome Marine Terminal, ,Cameroon,Gulf of Guinea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,2.8,9.816667
Kome Kribi 1 Marine Terminal, ,Cameroon,Gulf of Guinea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,2.916667,9.8
Pond Inlet, ,Canada,Northwest Passages; Arctic Ocean,Medium,Open Roadstead,Unknown,Unknown,72.75,-76.75
Padloping Island, ,Canada,Baffin Bay; Arctic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,67.033333,-62.733333
Pangnirtung, ,Canada,Cumberland Sound; Labrador Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,66.133333,-65.75
Catalina Harbor, ,Canada,North Atlantic Ocean,Small,Coastal (Natural),Unknown,Unknown,48.5,-53.083333
Port Union, ,Canada,North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,48.5,-53.083333
Clarenville, ,Canada,North Atlantic Ocean,Small,Coastal (Natural),Unknown,Unknown,48.15,-53.95
St John's, ,Canada,North Atlantic Ocean,Small,Coastal (Natural),Unknown,Large,47.566667,-52.7
Argentia, ,Canada,North Atlantic Ocean,Medium,Coastal (Natural),Unknown,Unknown,47.3,-53.983333
Come By Chance Harbor, ,Canada,North Atlantic Ocean,Small,Open Roadstead,Unknown,Unknown,47.8,-54.016667
Port Aux Basques, ,Canada,North Atlantic Ocean,Small,Coastal (Natural),Unknown,Unknown,47.566667,-59.133333
St George's, ,Canada,Gulf of Saint Lawrence; North Atlantic Ocean,Small,Coastal (Natural),Unknown,Unknown,48.45,-58.45
Corner Brook, ,Canada,Gulf of Saint Lawrence; North Atlantic Ocean,Small,Coastal (Natural),Unknown,Unknown,48.95,-57.95
Blanc Sablon, ,Canada,Gulf of Saint Lawrence; North Atlantic Ocean,Very Small,River (Natural),Unknown,Unknown,51.416667,-57.133333
Havre St Pierre, ,Canada,Gulf of Saint Lawrence; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,50.233333,-63.6
Sept Iles,Seven Islands,Canada,Gulf of Saint Lawrence; North Atlantic Ocean,Medium,River (Natural),Unknown,Unknown,50.2,-66.383333
