PortName,AlternateName,Country,WaterBody,HarborSize,HarborType,HarborUse,Railway,Latitude,Longitude
Dalvik, ,Iceland,Greenland Sea; Arctic Ocean,Very Small,Coastal (Breakwater),Unknown,Unknown,65.983333,-18.516667
Akureyri, ,Iceland,Greenland Sea; Arctic Ocean,Very Small,Coastal (Natural),Unknown,Small,65.683333,-18.083333
Husavik, ,Iceland,Greenland Sea; Arctic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,66.033333,-17.333333
Seydhisfjordhur, ,Iceland,Norwegian Sea; North Atlantic Ocean,Small,Coastal (Natural),Unknown,Small,65.266667,-14
Neskaupstadur,Neseyri; Nordfjordur,Iceland,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Small,65.15,-13.683333
Eskifjordhur,Eske Fsord,Iceland,North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Small,65.066667,-14.016667
Budir,Budhir,Iceland,North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Small,64.933333,-14.016667
Vestmannaeyjar, ,Iceland,North Atlantic Ocean,Small,Coastal (Natural),Unknown,Small,63.433333,-20.283333
Sikka, ,India,Arabian Sea; Indian Ocean,Very Small,Open Roadstead,Unknown,Small,22.433333,69.833333
Vadinar Terminal, ,India,Arabian Sea; Indian Ocean,Very Small,Open Roadstead,Unknown,Small,22.516667,69.7
Mandvi, ,India,Arabian Sea; Indian Ocean,Very Small,Open Roadstead,Unknown,Unknown,22.833333,69.35
Kandla,Kundla,India,Arabian Sea; Indian Ocean,Small,River (Natural),Unknown,Small,23.033333,70.216667
Navlakhi, ,India,Arabian Sea; Indian Ocean,Very Small,Open Roadstead,Unknown,Small,22.95,70.45
